Giornata 1,,,,,,Giornata 2,,,,
Caracass,0,0,Massi,-,,Massi,0,0,Venu Juniors,-
Baralcellona,0,0,Blucerchiata,-,,Ouascicheghesemmu,0,0,Support Team,-
Support Team,0,0,Cisti Gangleare United,-,,Cisti Gangleare United,0,0,Baralcellona,-
Venu Juniors,0,0,Ouascicheghesemmu,-,,Blucerchiata,0,0,Caracass,-
Giornata 3,,,,,,Giornata 4,,,,
Baralcellona,0,0,Ouascicheghesemmu,-,,Caracass,0,0,Support Team,-
Support Team,0,0,Massi,-,,Massi,0,0,Baralcellona,-
Venu Juniors,0,0,Caracass,-,,Ouascicheghesemmu,0,0,Cisti Gangleare United,-
Cisti Gangleare United,0,0,Blucerchiata,-,,Blucerchiata,0,0,Venu Juniors,-
Giornata 5,,,,,,Giornata 6,,,,
Baralcellona,0,0,Caracass,-,,Caracass,0,0,Cisti Gangleare United,-
Support Team,0,0,Venu Juniors,-,,Massi,0,0,Ouascicheghesemmu,-
Ouascicheghesemmu,0,0,Blucerchiata,-,,Support Team,0,0,Blucerchiata,-
Cisti Gangleare United,0,0,Massi,-,,Venu Juniors,0,0,Baralcellona,-
Giornata 7,,,,,,Giornata 8,,,,
Baralcellona,0,0,Support Team,-,,Massi,0,0,Caracass,-
Ouascicheghesemmu,0,0,Caracass,-,,Blucerchiata,0,0,Baralcellona,-
Cisti Gangleare United,0,0,Venu Juniors,-,,Cisti Gangleare United,0,0,Support Team,-
Blucerchiata,0,0,Massi,-,,Ouascicheghesemmu,0,0,Venu Juniors,-
Giornata 9,,,,,,Giornata 10,,,,
Venu Juniors,0,0,Massi,-,,Ouascicheghesemmu,0,0,Baralcellona,-
Support Team,0,0,Ouascicheghesemmu,-,,Massi,0,0,Support Team,-
Baralcellona,0,0,Cisti Gangleare United,-,,Caracass,0,0,Venu Juniors,-
Caracass,0,0,Blucerchiata,-,,Blucerchiata,0,0,Cisti Gangleare United,-
Giornata 11,,,,,,Giornata 12,,,,
Support Team,0,0,Caracass,-,,Caracass,0,0,Baralcellona,-
Baralcellona,0,0,Massi,-,,Venu Juniors,0,0,Support Team,-
Cisti Gangleare United,0,0,Ouascicheghesemmu,-,,Blucerchiata,0,0,Ouascicheghesemmu,-
Venu Juniors,0,0,Blucerchiata,-,,Massi,0,0,Cisti Gangleare United,-
Giornata 13,,,,,,Giornata 14,,,,
Cisti Gangleare United,0,0,Caracass,-,,Support Team,0,0,Baralcellona,-
Ouascicheghesemmu,0,0,Massi,-,,Caracass,0,0,Ouascicheghesemmu,-
Blucerchiata,0,0,Support Team,-,,Venu Juniors,0,0,Cisti Gangleare United,-
Baralcellona,0,0,Venu Juniors,-,,Massi,0,0,Blucerchiata,-
Giornata 15,,,,,,Giornata 16,,,,
Caracass,0,0,Massi,-,,Massi,0,0,Venu Juniors,-
Baralcellona,0,0,Blucerchiata,-,,Ouascicheghesemmu,0,0,Support Team,-
Support Team,0,0,Cisti Gangleare United,-,,Cisti Gangleare United,0,0,Baralcellona,-
Venu Juniors,0,0,Ouascicheghesemmu,-,,Blucerchiata,0,0,Caracass,-
Giornata 17,,,,,,Giornata 18,,,,
Baralcellona,0,0,Ouascicheghesemmu,-,,Caracass,0,0,Support Team,-
Support Team,0,0,Massi,-,,Massi,0,0,Baralcellona,-
Venu Juniors,0,0,Caracass,-,,Ouascicheghesemmu,0,0,Cisti Gangleare United,-
Cisti Gangleare United,0,0,Blucerchiata,-,,Blucerchiata,0,0,Venu Juniors,-
Giornata 19,,,,,,Giornata 20,,,,
Baralcellona,0,0,Caracass,-,,Caracass,0,0,Cisti Gangleare United,-
Support Team,0,0,Venu Juniors,-,,Massi,0,0,Ouascicheghesemmu,-
Ouascicheghesemmu,0,0,Blucerchiata,-,,Support Team,0,0,Blucerchiata,-
Cisti Gangleare United,0,0,Massi,-,,Venu Juniors,0,0,Baralcellona,-
Giornata 21,,,,,,Giornata 22,,,,
Baralcellona,0,0,Support Team,-,,Massi,0,0,Caracass,-
Ouascicheghesemmu,0,0,Caracass,-,,Blucerchiata,0,0,Baralcellona,-
Cisti Gangleare United,0,0,Venu Juniors,-,,Cisti Gangleare United,0,0,Support Team,-
Blucerchiata,0,0,Massi,-,,Ouascicheghesemmu,0,0,Venu Juniors,-
Giornata 23,,,,,,Giornata 24,,,,
Venu Juniors,0,0,Massi,-,,Ouascicheghesemmu,0,0,Baralcellona,-
Support Team,0,0,Ouascicheghesemmu,-,,Massi,0,0,Support Team,-
Baralcellona,0,0,Cisti Gangleare United,-,,Caracass,0,0,Venu Juniors,-
Caracass,0,0,Blucerchiata,-,,Blucerchiata,0,0,Cisti Gangleare United,-
Giornata 25,,,,,,Giornata 26,,,,
Support Team,0,0,Caracass,-,,Caracass,0,0,Baralcellona,-
Baralcellona,0,0,Massi,-,,Venu Juniors,0,0,Support Team,-
Cisti Gangleare United,0,0,Ouascicheghesemmu,-,,Blucerchiata,0,0,Ouascicheghesemmu,-
Venu Juniors,0,0,Blucerchiata,-,,Massi,0,0,Cisti Gangleare United,-
Giornata 27,,,,,,Giornata 28,,,,
Cisti Gangleare United,0,0,Caracass,-,,Support Team,0,0,Baralcellona,-
Ouascicheghesemmu,0,0,Massi,-,,Caracass,0,0,Ouascicheghesemmu,-
Blucerchiata,0,0,Support Team,-,,Venu Juniors,0,0,Cisti Gangleare United,-
Baralcellona,0,0,Venu Juniors,-,,Massi,0,0,Blucerchiata,-
